time,x,y,z,class
15.62,73.3231735229,19.8323173523,-39.4054870605,0
15.67,-10.4725608826,176.951217651,28.2317085266,0
15.71,-41.6310997009,201.570129395,56.6006126404,0
15.75,-118.14024353,61.2804908752,110.762199402,0
15.79,-109.451225281,108.917686462,96.6768341064,0
15.83,-142.073181152,194.009155273,70.1067123413,0
15.88,-163.902435303,204.466461182,61.7987823486,0
15.92,-75.9756088257,41.509147644,-14.3597564697,0
15.96,-34.009147644,128.216461182,-33.0487823486,0
16.0,-57.0426826477,-87.1646347046,-53.5518302917,0
16.04,30.5487804413,41.9817085266,45.0,0
16.08,-16.7987804413,12.9268293381,30.2134151459,0
16.12,-20.4115867615,-68.841468811,23.3993911743,0
16.16,-94.9390258789,-124.923782349,-0.701219499111,0
16.2,-17.2865848541,32.6981697083,-38.4603652954,0
16.24,-28.9329280853,98.6280517578,-49.3140258789,0
16.28,-35.4573173523,46.5396347046,-53.3231735229,0
16.32,10.1829271317,49.1006126404,-61.2042694092,0
16.36,14.4054880142,-1.29573178291,-40.0304870605,0
16.4,40.1524391174,38.307926178,-21.2652435303,0
16.44,127.667686462,106.875,-8.26219558716,0
16.48,123.871955872,55.0152435303,11.4481706619,0
16.52,166.875,14.9390249252,36.6310997009,0
16.56,143.506103516,-32.0884170532,33.125,0
16.6,138.826217651,-59.2530517578,27.759147644,0
16.64,110.716468811,-68.9176864624,25.3658542633,0
16.68,54.4207344055,-105.564025879,20.9908542633,0
16.72,42.0274391174,-118.612808228,16.0975608826,0
16.76,7.13414669037,-112.56098175,28.8871955872,0
16.8,-14.1768293381,-32.5457305908,37.9268302917,0
16.84,-46.0518302917,15.9298782349,32.942073822,0
16.88,-51.25,41.2652435303,38.2164649963,0
16.92,-83.5670776367,121.798782349,53.0792694092,0
16.96,-20.6097564697,-65.8689041138,30.9603672028,0
17.0,17.9573173523,-44.3597564697,8.97865867615,0
17.04,37.4542694092,178.887191772,-60.7774391174,0
17.08,38.8414649963,179.131103516,-87.4237823486,0
17.12,46.9054870605,-24.4969520569,-57.8353652954,0
17.16,-3.61280488968,-6.43292713165,35.5487823486,0
17.2,-36.0365867615,-34.3902435303,34.4359779358,0
17.24,-98.9786605835,6.11280488968,6.29573202133,0
17.28,-52.1951217651,-5.01524400711,-15.2134151459,0
17.32,-72.5304870605,113.628051758,-37.1798782349,0
17.36,-69.375,106.067077637,-49.7256126404,0
17.4,-30.4878063202,36.1128044128,-6.47865867615,0
17.44,-37.4695129395,83.2012176514,24.8932933807,0
17.48,-31.3719520569,70.1676864624,34.9390258789,0
17.52,-8.62804889679,60.0152435303,61.4329299927,0
17.56,-2.82012200356,65.3506088257,63.7957344055,0
17.6,-20.8993911743,86.0518341064,60.4878044128,0
17.64,-41.7987823486,56.7225608826,54.0548782349,0
17.68,-53.4756126404,61.25,48.4603652954,0
17.72,-73.9329299927,51.0975608826,40.1676826477,0
17.76,-76.6920776367,43.5518302917,38.9024391174,0
17.8,-84.2987823486,1.38719511032,41.0365867615,0
17.84,-96.0670776367,-14.6036586761,46.3262214661,0
17.88,-129.131103516,4.31402444839,50.884147644,0
17.92,-136.85975647,-6.11280488968,57.4542694092,0
17.96,-159.435974121,-7.01219511032,75.0,0
18.0,-163.978668213,64.0701217651,72.6981735229,0
18.04,-161.26524353,49.8780517578,64.2835388184,0
18.09,-148.689025879,5.56402444839,49.1310997009,0
18.13,-96.4634170532,32.5304870605,9.19207382202,0
18.17,-76.8445129395,32.6067085266,-15.0457324982,0
18.22,-37.3628044128,-44.5884170532,-59.1310997009,0
18.26,-19.9695129395,-69.7713394165,-84.8932952881,0
18.3,-4.90853691101,-76.1737823486,-131.600616455,0
18.35,9.375,6.26524400711,-173.963424683,0
18.39,-23.5823173523,-199.847564697,-114.771347046,0
18.43,-60.5640258789,94.6036605835,17.8201217651,0
18.48,-65.3963394165,55.5030517578,17.8048782349,0
18.52,-89.5274429321,-17.0121955872,30.350610733,0
18.57,-7.36280488968,14.7256097794,-46.3262214661,0
18.61,78.5518341064,15.0152444839,-123.292686462,0
18.65,140.335372925,-4.03963422775,-128.887191772,0
18.7,217.332321167,-2.95731711388,-115.335365295,0
18.74,238.064025879,-35.6097564697,-117.926834106,0
18.78,254.527450562,-63.125,-137.667678833,0
18.83,258.460357666,-38.7652435303,-135.548782349,0
18.87,260.0,-49.3292694092,-122.54573822,0
18.91,101.829269409,45.4878044128,-29.634147644,0
18.96,16.0518302917,91.1585388184,5.36585378647,0
19.0,-61.6310997009,41.6463432312,67.8506088257,0
19.04,-64.3902435303,22.5762195587,59.7408561707,0
19.09,-50.9756126404,39.5274391174,50.0609779358,0
19.13,-28.5518302917,51.3262214661,55.3048782349,0
19.17,-29.1768302917,37.3932952881,59.192073822,0
19.22,-3.10975623131,29.7408542633,11.3262195587,0
19.26,-11.783536911,31.4634151459,-5.74695158005,0
19.3,-48.2469520569,47.9878044128,-9.89329338074,0
19.35,-58.2774391174,21.7225608826,-10.8841466904,0
19.39,-49.6646347046,-12.408536911,-70.457321167,0
19.43,-34.8932952881,133.246948242,-92.7286605835,0
19.48,-7.01219511032,150.975616455,-66.6920776367,0
19.52,59.9085388184,22.2713413239,18.4146347046,0
19.57,64.5426864624,11.5701217651,51.9817085266,0
19.61,27.4847564697,-12.0426836014,120.853660583,0
19.65,17.9725608826,-186.554885864,89.0396347046,0
19.7,27.6981716156,-165.975616455,82.7134170532,0
19.74,-6.70731735229,-6.02134180069,35.807926178,0
19.78,-30.7164649963,-6.93597555161,22.6981716156,0
19.83,-54.5579299927,-14.2987804413,-6.82926845551,0
19.87,-41.4024391174,-38.0182952881,-1.25,0
19.91,1.99695122242,-11.1280488968,-24.8628063202,0
19.96,84.8628082275,-250.853668213,13.1859760284,0
20.0,108.612808228,-318.780487061,67.7286605835,0
20.05,122.926834106,-241.783538818,80.0609741211,0
20.1,-118.582321167,102.713417053,107.118904114,0
20.14,-120.457321167,-100.182929993,12.9878053665,0
20.19,-138.810974121,-8.61280536652,-36.0365867615,0
20.24,35.8689041138,56.6006126404,-106.371955872,0
20.29,33.307926178,-25.4268302917,11.7530488968,0
20.33,5.5182929039,38.75,-44.1768302917,0
20.38,-0.487804889679,52.7896347046,10.0,0
20.43,-42.1189041138,-107.179878235,12.9878053665,0
20.48,-54.4512214661,-87.6219558716,-15.9603662491,0
20.52,-57.3323173523,-136.371948242,-40.8993911743,0
20.57,-59.6493911743,-163.689025879,-37.9878044128,0
20.62,-57.2256126404,-76.6615905762,-30.9603672028,0
20.67,-38.0487823486,-109.573173523,-12.3323173523,0
20.71,-9.63414669037,-181.676834106,10.2439022064,0
20.76,9.05487823486,-84.6951217651,-4.66463422775,0
20.81,10.2743902206,-72.4695129395,7.11890268326,0
20.86,5.41158533096,-56.8597564697,31.158536911,0
20.9,22.5152435303,-44.375,33.4756088257,0
20.95,25.5640258789,-66.8292694092,31.3719520569,0
21.0,14.7256097794,-26.25,35.1981697083,0
21.07,-1.58536589146,2.82012200356,36.8292694092,0
21.13,15.9756097794,-4.03963422775,16.1890239716,0
21.2,16.0060977936,-39.817073822,23.9634151459,0
21.27,-11.4939031601,-27.8201217651,22.1493911743,0
21.33,-19.6798782349,-7.71341466904,18.1554889679,0
21.4,-14.4664640427,14.2225608826,-5.60975599289,0
21.47,-6.40243911743,20.4725608826,-7.10365867615,0
21.53,28.8109760284,13.3536586761,13.9481706619,0
21.6,-2.98780488968,14.8323173523,10.6402444839,0
21.67,-14.0548782349,96.0670776367,-21.067073822,0
21.73,-23.9024391174,67.4847564697,-14.5579271317,0
21.8,-23.8719520569,85.9146347046,22.9878063202,0
21.87,-20.4573173523,6.81402444839,43.932926178,0
21.93,-24.1310977936,-30.1981716156,-6.49390268326,0
22.0,15.3506097794,14.1006097794,-113.460365295,0
22.05,93.8567123413,63.1859779358,-290.655487061,0
22.09,102.042686462,127.469512939,-244.603668213,0
22.14,118.521347046,83.5975646973,-183.307937622,0
22.18,87.591468811,76.8140258789,-143.536590576,0
22.23,-44.9237823486,121.112808228,32.7896347046,0
22.27,-79.9847564697,183.10975647,84.3140258789,0
22.32,-111.31098175,357.804901123,78.1402435303,0
22.36,-100.853660583,346.356719971,65.5487823486,0
22.41,-53.567073822,189.451217651,38.9786605835,0
22.45,-52.4542694092,129.39024353,11.9359760284,0
22.5,-78.490852356,92.2103652954,-2.17987799644,0
22.55,-85.9603652954,82.4237823486,-43.7347564697,0
22.59,-76.0518341064,59.6951217651,-26.5853672028,0
22.64,-62.9115867615,-13.2012195587,2.24085378647,0
22.68,-24.6951217651,-17.4847564697,16.1890239716,0
22.73,-18.8567085266,-1.2804877758,6.12804889679,0
22.77,-8.14024448395,10.4878053665,-20.7621955872,0
