time,x,y,z,class
0.0,-9.51219558716,-49.4512214661,-6.7682929039,3
0.05,-8.99390220642,-51.3567085266,-6.85975646973,3
0.09,-5.89939022064,-65.4268341064,-5.38109779358,3
0.14,-8.04878044128,-69.1463394165,-0.396341472864,3
0.18,-13.3384151459,-47.7134170532,6.35670757294,3
0.23,4.05487823486,-46.7225608826,15.5030488968,3
0.27,17.6524391174,-53.2926826477,19.5274391174,3
0.32,7.77439022064,-43.9024391174,17.591463089,3
0.36,-5.0,-31.2804889679,12.8201227188,3
0.41,-2.24085378647,-32.4695129395,8.81097602844,3
0.45,-2.89634156227,-30.6402454376,5.74695158005,3
0.5,-4.61890268326,-23.7652435303,4.77134180069,3
0.55,-4.08536577225,-16.5243911743,4.42073202133,3
0.59,-2.22560977936,-11.0975608826,4.98475599289,3
0.64,1.93597567081,-10.3658542633,4.77134180069,3
0.68,-4.2682929039,-0.594512224197,2.83536601067,3
0.73,-2.16463422775,-9.84756088257,2.60670733452,3
0.77,-2.01219511032,-9.03963470459,3.26219511032,3
0.82,-3.61280488968,-9.20731735229,-0.716463446617,3
0.86,0.792682945728,-13.4451227188,-9.13109779358,3
0.91,-1.2804877758,-50.442073822,-28.2469520569,3
0.95,10.5945119858,-62.8506126404,-20.0609760284,3
1.0,23.2317085266,-55.6707344055,-47.7439041138,3
1.04,25.5182933807,-26.3871955872,-75.7774429321,3
1.08,-72.9268341064,316.905487061,-260.426849365,3
1.12,-178.246948242,431.036590576,-380.777435303,3
1.17,116.021347046,-136.615859985,24.7865867615,3
1.21,100.503051758,-133.353668213,93.7804870605,3
1.25,67.6067123413,-25.3963413239,115.68598175,3
1.29,-248.20123291,476.981719971,16.4786586761,3
1.33,-233.810974121,320.899383545,-19.8018302917,3
1.38,-178.445129395,181.676834106,-33.6737823486,3
1.42,-83.3079299927,-64.3445129395,-11.3719511032,3
1.46,-58.8871955872,-116.661590576,-5.06097555161,3
1.5,-51.5701217651,-118.262199402,3.32317090034,3
1.54,-59.2378044128,-71.6463394165,0.823170721531,3
1.58,-32.759147644,-13.8871955872,27.8963413239,3
1.62,-22.8963413239,28.1859760284,45.5640258789,3
1.67,-41.9512214661,29.9390258789,49.1768302917,3
1.71,-186.753051758,143.246948242,38.6585388184,3
1.75,-185.670730591,144.679885864,-14.5731706619,3
1.79,-134.070129395,-29.0701217651,-46.7987823486,3
1.83,-140.167678833,-63.3384170532,-35.259147644,3
1.88,-106.463417053,-93.3993911743,-34.7256088257,3
1.92,6.12804889679,-63.4756126404,47.4237823486,3
1.96,-4.64939022064,53.2621955872,67.6524429321,3
2.0,-74.634147644,318.643310547,39.4664649963,3
2.04,-111.585365295,413.125,41.9207344055,3
2.08,4.54268312454,168.10975647,57.4390258789,3
2.12,-12.1493902206,206.082321167,60.5487823486,3
2.16,-45.3353652954,216.570129395,62.3475608826,3
2.2,1.81402444839,121.981712341,70.9298782349,3
2.24,72.6676864624,33.567073822,99.2987823486,3
2.28,161.448181152,-69.1768341064,144.679885864,3
2.32,172.347564697,-42.0731735229,183.155487061,3
2.36,130.807922363,-16.9359760284,171.646347046,3
2.4,182.820129395,38.8719520569,135.487808228,3
2.44,206.051834106,85.0,90.884147644,3
2.48,83.3384170532,-112.103660583,-22.4695129395,3
2.52,23.216463089,-156.387191772,-39.5731735229,3
2.56,-48.0030517578,-228.399398804,-56.067073822,3
2.6,-70.7012176514,-215.701217651,-67.4847564697,3
2.64,-117.362808228,-132.225616455,-96.8140258789,3
2.68,-131.615859985,-98.6737823486,-109.481712341,3
2.72,-166.600616455,-72.240852356,-128.978668213,3
2.76,-179.222564697,-57.1798782349,-115.06098175,3
2.8,-197.743911743,-34.7713432312,-37.2103652954,3
2.84,-65.5335388184,-22.3932933807,11.5701217651,3
2.88,-104.923782349,63.2469520569,-1.31097567081,3
2.92,-103.155487061,-13.2317075729,20.0457324982,3
2.96,-145.533538818,30.9603672028,44.4969520569,3
3.0,-147.911590576,33.6280479431,39.1158561707,3
3.04,-135.030487061,66.0975646973,1.08231711388,3
3.08,-119.862808228,78.7347564697,-19.6951217651,3
3.12,-39.9542694092,14.4207324982,-46.3109779358,3
3.17,14.6646347046,-33.932926178,-63.4756126404,3
3.21,134.969512939,-61.1737823486,-115.365859985,3
3.25,253.094512939,-295.472564697,-120.533538818,3
3.29,226.676834106,-319.115875244,-69.375,3
3.33,127.728660583,-262.012207031,16.341463089,3
3.38,147.682937622,-277.271362305,-32.1646347046,3
3.42,85.9298782349,-169.466461182,-39.8323173523,3
