time,x,y,z,class
0.0,-62.7896347046,42.5,-34.0548782349,2
0.04,-60.8384170532,67.2256088257,-32.2256088257,2
0.08,-51.0060997009,62.4085388184,-28.2317085266,2
0.12,-42.7896347046,57.8201217651,-26.5853672028,2
0.15,-40.3353652954,83.2012176514,-26.7378063202,2
0.19,-42.5152435303,126.478660583,-19.9237804413,2
0.23,-45.625,160.228668213,-2.48475623131,2
0.27,-52.0274391174,192.942077637,17.7134151459,2
0.31,-54.4054908752,208.094512939,27.0121955872,2
0.35,-45.9603652954,180.670730591,30.6402454376,2
0.38,-33.8414649963,130.701217651,33.2317085266,2
0.42,-26.8597564697,96.0213470459,34.0396347046,2
0.46,-24.4054889679,76.1432952881,35.1981697083,2
0.5,-22.8963413239,44.7256126404,34.0701217651,2
0.54,-16.6615848541,0.259146332741,28.9329280853,2
0.58,-3.38414645195,-54.7408561707,25.350610733,2
0.62,76.9817123413,-239.192077637,14.1615858078,2
0.65,261.631103516,-88.2317123413,-41.875,2
0.69,163.689025879,295.945129395,12.8353662491,2
0.73,-106.753051758,-145.472564697,-11.7073173523,2
0.77,-96.4176864624,-320.899383545,-19.6798782349,2
0.81,-70.259147644,-499.496948242,-10.2743902206,2
0.85,-80.3048782349,-496.859771729,10.5792684555,2
0.88,-75.2134170532,-352.850616455,51.3109779358,2
0.92,-82.2713470459,-242.942077637,57.5914649963,2
0.96,-103.932929993,9.17682933807,13.9024391174,2
1.0,-89.5274429321,19.3140239716,6.49390268326,2
1.05,-89.1920776367,156.905487061,-5.74695158005,2
1.1,-101.006103516,248.414642334,-12.2560977936,2
1.15,-105.990852356,383.018310547,25.5792694092,2
1.2,-97.1951217651,383.628051758,35.4725608826,2
1.25,-58.3231735229,110.045730591,44.7713432312,2
1.3,-73.9329299927,70.8079299927,41.6006088257,2
1.35,-38.5060997009,-2.85060977936,1.14329266548,2
1.4,-30.4725608826,5.74695158005,-27.4390258789,2
1.45,-19.8780498505,-16.875,-36.2652435303,2
1.5,-5.12195110321,-18.5060977936,-60.1524391174,2
1.55,2.42378044128,-24.375,-63.9024391174,2
1.6,31.4634151459,-40.5182952881,-61.2652435303,2
1.65,27.7743911743,-159.35975647,-19.6951217651,2
1.7,-13.567073822,-116.356712341,-31.9359760284,2
1.75,-9.54268360138,-53.4146347046,-23.5213413239,2
1.8,5.35060977936,-41.6006088257,-9.03963470459,2
1.85,-3.18597579002,-47.4847564697,44.5731735229,2
1.9,3.03353667259,-21.0518302917,42.8658561707,2
1.95,30.0609760284,-33.3993911743,46.5396347046,2
2.0,1.43292689323,-18.9024391174,55.8689041138,2
2.05,-24.6646347046,-16.600610733,65.9756088257,2
2.09,-34.817073822,5.22865867615,69.3902435303,2
2.14,-50.5182952881,23.0792694092,70.259147644,2
2.18,-56.1128044128,18.5823173523,67.0426864624,2
2.23,-81.7682952881,46.1432952881,55.7164649963,2
2.27,-86.7225646973,35.0,47.8201217651,2
2.32,-74.8170776367,19.9847564697,23.3536586761,2
2.36,-79.5426864624,16.9817085266,6.02134180069,2
2.41,-30.7164649963,46.6006126404,-31.9664649963,2
2.45,-30.6707324982,64.3597564697,-56.509147644,2
2.5,55.1981735229,-11.067073822,-122.393295288,2
2.55,73.7652435303,146.387191772,-65.0762176514,2
2.59,24.908536911,91.4786605835,13.4451227188,2
2.64,30.1371955872,-155.64024353,-48.8719520569,2
2.68,22.3628063202,-82.6676864624,-52.8658561707,2
2.73,12.3780488968,-22.591463089,-47.3780517578,2
2.77,30.2134151459,-21.8902435303,-40.7621955872,2
2.82,38.4146347046,54.9390258789,26.9054889679,2
2.86,28.475610733,32.8963432312,32.1951217651,2
2.91,24.7713413239,28.7804889679,33.2469520569,2
2.95,10.7317075729,43.3384170532,23.9939022064,2
3.0,7.37804889679,44.1463432312,17.7896347046,2
3.04,10.6097564697,13.7195129395,11.0518293381,2
3.07,11.5243902206,0.381097555161,8.85670757294,2
3.11,11.0975608826,-12.1036586761,3.58231711388,2
3.14,11.5548782349,-14.4664640427,2.07317066193,2
3.18,11.067073822,-11.7378053665,6.52439022064,2
3.21,9.66463470459,-5.89939022064,8.38414669037,2
3.25,6.40243911743,10.0152444839,9.32926845551,2
3.29,4.60365867615,13.6737804413,7.48475646973,2
3.32,2.24085378647,9.61890220642,0.853658556938,2
3.36,1.53963422775,4.61890268326,-1.38719511032,2
3.39,-1.17378056049,-5.21341466904,-6.875,2
3.43,-3.30792689323,-3.27743911743,-8.04878044128,2
3.46,-8.07926845551,-1.2195122242,-10.9603662491,2
3.5,-8.52134132385,-4.13109779358,-13.0487804413,2
3.54,-5.625,-14.3140249252,-17.4695129395,2
3.57,-1.79878056049,-17.7896347046,-18.658536911,2
3.61,9.26829242706,-14.6798782349,-15.2896347046,2
3.64,10.8993902206,-12.0884151459,-10.9451217651,2
3.68,11.7378053665,-10.0914640427,-2.16463422775,2
3.71,13.1402444839,-14.6341466904,0.0762195140123,2
3.75,25.3353672028,-47.2256126404,-0.80792683363,2
3.79,41.8445129395,-19.1463413239,9.19207382202,2
3.82,44.3445129395,-10.7317075729,13.5823173523,2
3.86,56.9817085266,-27.3475608826,20.4725608826,2
3.89,60.1676826477,-27.6981716156,21.7682933807,2
3.93,53.4451217651,-42.3018302917,25.533536911,2
3.96,40.7164649963,-48.1859779358,28.0640258789,2
4.0,45.6402435303,-145.365859985,39.0396347046,2
4.04,52.5609779358,-179.573181152,48.2774391174,2
4.08,34.3597564697,-3.56707334518,57.5762214661,2
4.12,14.3140249252,-17.5,28.6280498505,2
4.15,-7.59146356583,-86.1432952881,15.0609760284,2
4.19,-21.9512195587,37.2256088257,52.5762214661,2
4.23,-34.4054870605,68.8262176514,34.3445129395,2
4.27,-37.6219520569,72.6676864624,27.4390258789,2
4.31,-38.0945129395,96.7835388184,5.07621955872,2
4.35,-32.5914649963,109.664634705,-10.3506097794,2
4.38,45.0762214661,37.759147644,-41.3871955872,2
4.42,40.8536605835,57.3628044128,-28.125,2
4.46,45.8231735229,40.3506088257,-12.5914640427,2
4.5,46.5853652954,47.0731735229,-5.76219511032,2
4.54,41.509147644,50.4573173523,31.9969520569,2
4.58,27.3475608826,70.365852356,39.0548782349,2
4.62,8.41463470459,69.115852356,49.0548782349,2
4.65,0.274390250444,45.807926178,48.9024391174,2
4.69,0.0457317084074,-1.46341466904,50.1676826477,2
4.73,-11.158536911,24.634147644,43.4908561707,2
4.77,-1.58536589146,-17.1951217651,31.3414649963,2
4.81,-2.36280488968,-11.4481706619,33.8567085266,2
4.85,-3.59756112099,8.01829242706,24.100610733,2
4.88,2.34756112099,-14.8323173523,21.7378063202,2
4.92,-24.2378063202,40.9298782349,37.3780479431,2
4.96,7.19512224197,-14.1768293381,-29.7103672028,2
5.0,3.61280488968,29.6646347046,-42.5609779358,2
5.05,32.2256088257,27.0731716156,-12.2256097794,2
5.11,34.5121955872,-49.6646347046,-11.8902444839,2
5.16,54.0701217651,-35.1219520569,5.47256088257,2
5.21,87.5762252808,-36.5243911743,5.50304889679,2
5.26,44.4207344055,-129.131103516,35.625,2
5.32,31.5853672028,-89.375,30.8993911743,2
5.37,62.3932952881,-101.829269409,12.8658542633,2
5.42,80.5487823486,-141.85975647,13.5365858078,2
5.47,106.951225281,-118.567077637,5.42682933807,2
5.53,103.978660583,-115.868904114,1.64634144306,2
5.58,-56.8445129395,63.5518302917,-20.5792694092,2
5.63,-105.807929993,-37.7286605835,-50.5335388184,2
5.68,-116.280487061,26.4939022064,-35.442073822,2
5.74,-43.5518302917,271.021362305,32.1189041138,2
5.79,-6.41768312454,190.487808228,73.9786605835,2
5.84,-19.3445129395,177.012191772,61.067073822,2
5.89,5.60975599289,32.8963432312,55.4268302917,2
5.95,15.4115858078,9.96951198578,37.3475608826,2
6.0,13.5365858078,-3.00304889679,26.8292694092,2
6.06,38.384147644,-76.6310958862,-8.52134132385,2
6.11,61.0518302917,-133.932922363,13.7195129395,2
6.17,64.8170776367,-63.3079299927,30.2439022064,2
6.22,104.98475647,-72.0274429321,26.0365867615,2
6.28,105.228660583,2.74390244484,14.2225608826,2
6.33,120.137199402,36.9817085266,4.05487823486,2
6.39,115.076225281,-16.7682933807,0.106707319617,2
6.44,-133.170730591,80.2286605835,20.0304889679,2
6.5,-16.158536911,140.548782349,49.1006126404,2
6.56,29.1463413239,61.9359779358,39.4054870605,2
6.61,77.4847564697,4.51219511032,-3.7195122242,2
6.67,107.926834106,-35.1219520569,-23.0030498505,2
6.72,59.6493911743,1.49390244484,14.8475608826,2
6.78,189.375,3.20121955872,-0.518292665482,2
6.83,118.932929993,-1.03658533096,1.44817078114,2
6.89,-115.213417053,-27.5152454376,-4.05487823486,2
6.94,-108.521347046,-12.9878053665,-5.56402444839,2
7.0,-101.615852356,-23.7652435303,1.875,2
7.05,-109.420730591,5.85365867615,1.72256100178,2
7.1,-71.3567123413,-35.1524391174,4.20731735229,2
7.15,-67.4542694092,-28.3384151459,2.63719511032,2
7.2,-64.6951217651,20.1371955872,3.06402444839,2
7.25,-62.3780517578,33.0487823486,0.487804889679,2
7.3,-57.9573173523,26.6463413239,-2.78963422775,2
7.35,-56.3109779358,16.341463089,-4.57317066193,2
7.4,-35.6402435303,8.88719558716,-34.192073822,2
7.45,-31.4329280853,55.6859779358,-28.5365867615,2
7.5,-36.6463432312,88.6890258789,-23.4603672028,2
7.55,-65.0304870605,189.817077637,-33.4451217651,2
7.6,-72.0426864624,186.341461182,-37.8201217651,2
7.65,-90.3963470459,228.521347046,-29.4969520569,2
7.7,-85.4268341064,194.542694092,-17.2103672028,2
7.75,-67.4847564697,152.51524353,2.74390244484,2
7.8,-49.0701217651,132.789642334,10.7164640427,2
7.85,2.56097555161,65.3201217651,31.1128063202,2
7.9,12.5304880142,75.8231735229,38.384147644,2
7.95,7.63719511032,105.350608826,44.2073173523,2
8.0,18.216463089,134.39024353,17.8201217651,2
8.06,40.4573173523,18.5060977936,1.12804877758,2
8.12,37.3475608826,-40.1219520569,-4.92378044128,2
8.19,37.4390258789,-98.7347564697,4.93902444839,2
8.25,44.8932952881,-159.115859985,-9.00914669037,2
8.31,15.533536911,-70.0152435303,-3.23170733452,2
8.38,21.509147644,-122.012199402,-7.22560977936,2
8.44,19.8018302917,-111.554878235,-6.41768312454,2
8.5,42.2408561707,-132.667678833,-9.74085426331,2
8.56,-12.4390249252,-11.6615858078,-13.2926836014,2
8.62,0.137195125222,-95.6097564697,-23.0945129395,2
8.69,-26.4939022064,-22.5304889679,-17.7134151459,2
8.75,-63.7652435303,21.966463089,28.0792694092,2
8.81,-61.4176826477,119.817077637,50.2896347046,2
8.88,2.5,186.371948242,84.7560958862,2
8.94,25.9146347046,168.064025879,76.0213470459,2
9.0,72.0579299927,70.6707305908,34.817073822,2
9.04,73.3536605835,82.1493911743,27.3323173523,2
9.07,53.7652435303,-50.6097564697,-21.7530498505,2
9.11,25.9908542633,-178.170730591,-45.0762214661,2
9.15,20.8384151459,-131.097564697,-32.4542694092,2
9.19,39.4054870605,-219.649398804,-39.0396347046,2
9.22,3.01829266548,-108.414634705,-19.5731716156,2
9.26,15.7164640427,-114.298782349,-20.7317085266,2
9.3,12.9573173523,-51.2195129395,-35.9756088257,2
9.33,26.5853672028,-84.2530517578,-41.6615867615,2
9.37,-12.6829271317,1.90548789501,6.57012224197,2
9.41,-22.5457324982,-12.2256097794,2.16463422775,2
9.44,-20.1524391174,-34.6493911743,-9.03963470459,2
9.48,-1.53963422775,-94.1920776367,-12.6371955872,2
9.52,-0.548780500889,-92.2103652954,-0.0152439028025,2
9.56,2.69817090034,-117.881103516,-16.1432933807,2
9.59,-7.92682933807,-105.213417053,-22.8810977936,2
9.63,-43.3689041138,-13.9634151459,5.96036577225,2
9.67,-48.1707344055,0.289634138346,14.5274391174,2
9.7,-53.6585388184,-5.50304889679,14.0701227188,2
9.74,-53.2012214661,-19.4054889679,13.8109760284,2
9.78,-43.75,-40.7926826477,15.0457324982,2
9.81,-35.4878044128,-43.2469520569,20.5487804413,2
9.85,-37.1798782349,12.4695129395,15.3048782349,2
9.89,-37.134147644,41.6310997009,18.9024391174,2
9.93,-30.3353672028,45.7469520569,27.0884151459,2
9.96,-23.8567085266,43.4298782349,16.3109760284,2
10.0,-4.87804889679,22.7439022064,7.51524400711,0
10.06,-1.8902438879,42.4542694092,2.37804889679,0
10.11,14.5426836014,31.8140258789,-3.01829266548,0
10.17,21.692073822,14.4207324982,-4.96951246262,0
10.22,21.4481716156,-5.42682933807,1.98170733452,0
10.28,22.3323173523,-18.3231716156,3.58231711388,0
10.33,50.7317085266,-78.2012176514,0.716463446617,0
